run,makespan
1,4041
2,4338
3,3804
4,3735
5,3789
6,4046
7,4064
8,4117
9,4117
10,4105
11,4055
12,4087
13,4079
14,4149
15,4079
16,4119
17,4105
18,4082
19,4155
20,8613
21,7740
22,6539
23,7955
24,6539
25,7456
26,9590
27,7328
28,4053
29,4100
30,7739
31,8175
32,7983
33,7530
34,7797
35,9068
36,7510
37,6584
38,4109
39,4092
40,7899
41,7176
42,8009
43,8452
44,9185
45,8483
46,8712
47,6867
48,4067
49,4170
50,6544
51,8635
52,6453
53,7148
54,6724
55,6702
56,6884
57,6492
58,3391
59,3419
60,3458
61,6988
62,5697
63,5620
64,6686
65,6404
66,7410
67,7084
68,6254
69,3432
70,3371
71,6157
72,6419
73,6925
74,7123
75,6413
76,7468
77,6429
78,6825
79,3956
80,3982
81,7863
82,7889
83,7324
84,8205
85,6930
86,8490
87,8063
88,8470
89,3918
90,3972
91,6952
92,7060
93,8293
94,7177
95,7088
96,7420
97,6200
98,8119
99,3951
100,3910
101,7013
102,7399
103,7433
104,7574
105,8824
106,7827
107,8102
108,9013
109,4179
110,4195
111,8806
112,7940
113,6618
114,8152
115,7586
116,8758
117,8023
118,8721
119,4134
120,4192
121,8755
122,8956
123,7143
124,8032
125,7380
126,6693
127,7069
128,7190
129,4217
130,3911
131,4223
132,4201
133,4204
134,4242
135,4229
136,4268
137,4197
138,4221
139,4231
140,4224
141,4194
142,4229
143,4220
144,4790
145,4295
146,4252
147,4249
148,4299
149,4129
150,4065
151,4002
152,4051
153,4072
154,4087
155,4053
156,4036
157,4106
158,4251
159,4165
160,3817
161,3976
162,3895
163,3950
164,3901
165,4590
166,3920
167,3865
168,3946
169,3917
170,3933
171,3919
172,3942
173,3972
174,3919
175,3936
176,3927
177,3966
178,3912
179,3953
180,3827
181,4637
182,3870
183,4207
184,4212
185,4229
186,4030
187,4007
188,4074
189,4007
190,4093
191,4002
192,4055
193,4039
194,3939
195,3917
196,3921
197,3969
198,4047
199,4079
200,4037
201,4048
202,3996
203,4001
204,3999
205,4023
206,4753
207,4040
208,4052
209,4061
210,4270
211,4060
212,4093
213,3826
214,4064
215,3937
216,3986
217,3937
218,3931
219,3975
220,3981
221,3982
222,3922
223,3945
224,3963
225,4107
226,4058
227,4061
228,4062
229,4159
230,4108
231,4100
232,4101
233,4093
234,4092
235,4080
236,4267
237,3995
238,3832
239,3830
240,4027
241,3820
242,4067
243,3878
244,4087
245,3871
246,4040
247,3861
248,4066
249,3825
250,4085
251,3828
252,3809
253,3837
254,4037
255,3818
256,4032
257,3865
258,3809
259,3821
260,3898
261,4353
262,4209
263,4201
264,3941
265,4165
266,3998
267,3946
268,3873
269,3894
270,3926
271,4148
272,3905
273,4141
274,3935
275,3881
276,4147
277,3901
278,4124
279,3993
280,4153
281,3899
282,4148
283,3845
284,4161
285,3906
286,4190
287,4045
288,4329
289,3921
290,3845
291,4080
292,3897
293,4125
294,3905
295,3884
296,4138
297,3888
298,4074
299,3865
300,4100
301,4129
302,3773
303,3893
304,4138
305,3862
306,4078
307,3892
308,4117
309,3894
310,4142
311,3896
312,4133
